experiment_id,recorded_at,model,horizon,split,n,MAE,RMSE,MAPE,sMAPE,train_period,validation_period,test_period,n_features,hyperparameters,notes
exp_ladder_hist_gbr_lags,2026-08-26T01:47:42+00:00,hist_gbr,3d,valid,11616,23.586,30.795,0.9499,0.9531,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,54,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=lags; fit=26.5s
exp_ladder_hist_gbr_lags,2026-08-26T01:48:09+00:00,hist_gbr,7d,valid,11488,34.534,44.124,1.3844,1.394,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,54,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=lags; fit=27.5s
exp_ladder_hist_gbr_rolling,2026-08-26T01:48:39+00:00,hist_gbr,1d,valid,11680,15.185,20.172,0.6156,0.6163,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=28.7s
exp_ladder_hist_gbr_rolling,2026-08-26T01:49:10+00:00,hist_gbr,3d,valid,11616,23.488,30.489,0.9485,0.9517,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=30.9s
exp_ladder_hist_gbr_rolling,2026-08-26T01:49:32+00:00,hist_gbr,7d,valid,11488,34.211,43.64,1.3754,1.384,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=22.1s
exp_ladder_hist_gbr_full,2026-08-26T01:49:59+00:00,hist_gbr,1d,valid,11680,14.73,19.702,0.5956,0.5961,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=26.8s
exp_ladder_hist_gbr_full,2026-08-26T01:50:21+00:00,hist_gbr,3d,valid,11616,22.288,29.318,0.899,0.9007,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=22.0s
exp_ladder_hist_gbr_full,2026-08-26T01:50:43+00:00,hist_gbr,7d,valid,11488,30.835,39.992,1.2393,1.2436,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=21.2s
exp_001_baselines,2026-08-26T01:51:56+00:00,naive,1d,valid,11680,15.407,21.28,0.6221,0.6228,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
exp_001_baselines,2026-08-26T01:51:56+00:00,naive,1d,test,11648,17.658,23.978,0.6594,0.6601,2021-01-01..2023-12-30,2024-01-01..2024-12-30,2025-01-01..2025-12-30,0,{},no training required
